1	1	1
1	29	0.5258
1	138	0.5274
2	1	0.5129
2	2	1
2	21	0.7024
2	39	0.6998
2	43	0.7131
2	47	0.6475
2	51	0.6734
2	58	0.564
2	77	0.5191
2	82	0.5056
2	92	0.5039
2	117	0.6133
2	122	0.5405
2	131	0.6125
2	133	0.5045
2	145	0.7091
2	149	0.5048
2	151	0.6635
2	152	0.5047
2	166	0.5043
2	176	0.521
2	178	0.5048
2	184	0.6524
2	189	0.669
2	198	0.5281
2	199	0.6389
2	205	0.6333
2	211	0.5045
2	221	0.5051
2	222	0.52
2	239	0.5154
2	241	0.5279
2	242	0.5243
2	245	0.5046
2	255	0.6668
2	272	0.5049
2	298	0.5381
2	311	0.5413
2	312	0.5687
3	3	1
3	44	0.5607
3	57	0.5365
3	67	0.523
3	81	0.5435
3	104	0.523
3	109	0.5218
3	130	0.5607
3	168	0.5274
3	193	0.5816
3	235	0.5365
3	249	0.5696
3	261	0.5243
3	290	0.5365
4	4	1
4	19	0.5152
4	59	0.5197
4	71	0.5365
4	97	0.5136
4	136	0.5314
4	137	0.6234
4	141	0.5207
4	222	0.5136
4	258	0.5481
5	5	1
5	9	0.5113
5	40	0.5435
5	46	0.5316
5	49	0.5351
5	59	0.521
5	97	0.5188
5	100	0.7162
5	116	0.5317
5	135	0.5232
5	139	0.676
5	141	0.5152
5	170	0.5274
5	171	0.505
5	176	0.5141
5	192	0.5032
5	226	0.515
5	249	0.5049
5	263	0.5109
5	268	0.5237
5	274	0.5628
5	284	0.5224
6	6	1
6	14	0.7848
6	17	0.7657
6	36	0.6652
6	64	0.6467
6	73	0.5243
6	87	0.5303
6	102	0.8069
6	114	0.6413
6	117	0.5796
6	131	0.5816
6	150	0.6805
6	169	0.5508
6	180	0.5416
6	199	0.5799
6	203	0.5337
6	214	0.5381
6	215	0.721
6	228	0.8631
6	231	0.5325
6	253	0.721
6	279	0.5218
6	281	0.7848
6	286	0.6318
7	1	0.5104
7	7	1
7	27	0.5696
7	32	0.5581
7	33	0.5653
7	52	0.6234
7	69	0.5644
7	80	0.5469
7	82	0.5882
7	98	0.5378
7	118	0.5096
7	148	0.6166
7	155	0.5269
7	157	0.5508
7	158	0.5101
7	159	0.5096
7	162	0.5101
7	165	0.5384
7	179	0.5098
7	187	0.5111
7	201	0.6354
7	204	0.5816
7	208	0.5184
7	210	0.5551
7	214	0.5471
7	218	0.5243
7	225	0.5224
7	229	0.518
7	257	0.5075
7	260	0.5983
7	274	0.5138
7	280	0.5101
7	287	0.6246
7	289	0.5274
7	307	0.5107
8	7	0.5144
8	8	1
8	11	0.5286
8	16	0.5152
